group,section,label,path,type,value,notes
components,components.calendar_events,Empty message,components.calendar_events.empty_message,string,Check out What's On for current activities.,Plain text.
components,components.calendar_events,View whats on label,components.calendar_events.view_whats_on_label,string,View What's On ->,Plain text.
footer,footer.quick_links,Href,footer.quick_links[0].href,path,/im-new,Use site-relative path starting with /.
footer,footer.quick_links,Label,footer.quick_links[0].label,string,I'm New,Plain text.
footer,footer.quick_links,Href,footer.quick_links[1].href,path,/whats-on,Use site-relative path starting with /.
footer,footer.quick_links,Label,footer.quick_links[1].label,string,What's On,Plain text.
footer,footer.quick_links,Href,footer.quick_links[2].href,path,/sermons,Use site-relative path starting with /.
footer,footer.quick_links,Label,footer.quick_links[2].label,string,Talks,Plain text.
footer,footer.quick_links,Href,footer.quick_links[3].href,path,/safeguarding,Use site-relative path starting with /.
footer,footer.quick_links,Label,footer.quick_links[3].label,string,Safeguarding,Plain text.
footer,footer.quick_links,Href,footer.quick_links[4].href,path,/contact,Use site-relative path starting with /.
footer,footer.quick_links,Label,footer.quick_links[4].label,string,Contact,Plain text.
footer,footer.title,Title,footer.title,string,St John's Park,Plain text.
navigation,navigation.href,Href,navigation[0].href,path,/sundays,Use site-relative path starting with /.
navigation,navigation.label,Label,navigation[0].label,string,Sundays,Plain text.
navigation,navigation.href,Href,navigation[1].href,path,/sermons,Use site-relative path starting with /.
navigation,navigation.label,Label,navigation[1].label,string,Talks,Plain text.
navigation,navigation.href,Href,navigation[2].href,path,/whats-on,Use site-relative path starting with /.
navigation,navigation.label,Label,navigation[2].label,string,What's On,Plain text.
navigation,navigation.href,Href,navigation[3].href,path,/belong,Use site-relative path starting with /.
navigation,navigation.label,Label,navigation[3].label,string,Belong,Plain text.
navigation,navigation.href,Href,navigation[4].href,path,/serve,Use site-relative path starting with /.
navigation,navigation.label,Label,navigation[4].label,string,Serve,Plain text.
navigation,navigation.href,Href,navigation[5].href,path,/give,Use site-relative path starting with /.
navigation,navigation.label,Label,navigation[5].label,string,Give,Plain text.
navigation,navigation.href,Href,navigation[6].href,path,/team,Use site-relative path starting with /.
navigation,navigation.label,Label,navigation[6].label,string,Team,Plain text.
navigation,navigation.href,Href,navigation[7].href,path,/contact,Use site-relative path starting with /.
navigation,navigation.label,Label,navigation[7].label,string,Contact,Plain text.
pages,pages.belong,Description,pages.belong.highlights[0].description,string,Groups for children aged 1-11 during Sunday gatherings.,Plain text.
pages,pages.belong,Href,pages.belong.highlights[0].href,path,/park-kids,Use site-relative path starting with /.
pages,pages.belong,Title,pages.belong.highlights[0].title,string,Park Kids,Plain text.
pages,pages.belong,Tone,pages.belong.highlights[0].tone,string,eden,Plain text.
pages,pages.belong,Description,pages.belong.highlights[1].description,string,Youth discipleship through Cornerstone and Sunday Bible study.,Plain text.
pages,pages.belong,Href,pages.belong.highlights[1].href,path,/park-youth,Use site-relative path starting with /.
pages,pages.belong,Title,pages.belong.highlights[1].title,string,Park Youth,Plain text.
pages,pages.belong,Tone,pages.belong.highlights[1].tone,string,teal,Plain text.
pages,pages.belong,Description,pages.belong.highlights[2].description,string,"Midweek groups for prayer, Scripture, and community life.",Plain text.
pages,pages.belong,Href,pages.belong.highlights[2].href,path,/park-communities,Use site-relative path starting with /.
pages,pages.belong,Title,pages.belong.highlights[2].title,string,Park Communities,Plain text.
pages,pages.belong,Tone,pages.belong.highlights[2].tone,string,gold,Plain text.
pages,pages.belong,Heading,pages.belong.sections.kids.heading,string,Kids,Plain text.
pages,pages.belong,Paragraphs 1,pages.belong.sections.kids.paragraphs[0],string,We have kids groups (ages 1-11) that meet during our Sunday gathering. Speak to our welcome team to find out more.,Plain text.
pages,pages.belong,Paragraphs 2,pages.belong.sections.kids.paragraphs[1],html,<a href='/park-kids' class='underline decoration-[var(--eden)] underline-offset-4'>Find out more about Park Kids</a>.,HTML allowed. Keep links as <a href='...'>text</a>.
pages,pages.belong,Heading,pages.belong.sections.midweek.heading,string,Midweek Groups,Plain text.
pages,pages.belong,Paragraphs 1,pages.belong.sections.midweek.paragraphs[0],string,"We encourage anyone part of our church family to find transformation, discipleship, and growth in a small community.",Plain text.
pages,pages.belong,Paragraphs 2,pages.belong.sections.midweek.paragraphs[1],string,"Most of our communities meet weekly to study God's Word, pray, and encourage one another in faith.",Plain text.
